what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.600.v201505131719,"org.eclipse.jst.ws.jaxrs.core",1489448780837
started,bundle,org.eclipse.jpt.jpa.db,2.2.200.v201603180253,"org.eclipse.jpt.jpa.db",1489448780913
started,bundle,org.eclipse.datatools.connectivity,1.13.0.201603142002,"org.eclipse.datatools.connectivity",1489448780922
started,bundle,org.eclipse.cft.server.standalone.core,1.0.4.v201611302157,"org.eclipse.cft.server.standalone.core",1489448781155
started,bundle,org.eclipse.cft.server.core,1.2.0.v201611302157,"org.eclipse.cft.server.core",1489448781216
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.400.v201504292002,"org.eclipse.wst.common.frameworks.ui",1489448781256
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908251833,"org.eclipse.wst.common.core",1489448781267
started,bundle,org.eclipse.wst.jsdt.chromium.debug.ui,0.6.0.v201608251013,"org.eclipse.wst.jsdt.chromium.debug.ui",1489448781490
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489448783303
started,bundle,org.eclipse.wst.common.modulecore,1.2.401.v201408132036,"org.eclipse.wst.common.modulecore",1489448786717
started,bundle,org.eclipse.jst.j2ee.core,1.3.200.v201505041449,"org.eclipse.jst.j2ee.core",1489448786750
started,bundle,org.eclipse.jem,2.0.600.v201302011850,"org.eclipse.jem",1489448786837
started,bundle,org.eclipse.wst.xml.core,1.1.1000.v201605120036,"org.eclipse.wst.xml.core",1489448786971
started,bundle,org.eclipse.jst.j2ee,1.1.900.v201607282038,"org.eclipse.jst.j2ee",1489448787078
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.601.v201602241911,"org.eclipse.wst.jsdt.manipulation",1489448788036
started,bundle,org.eclipse.wst.jsdt.ui,2.0.0.v201608301904,"org.eclipse.wst.jsdt.ui",1489448788434
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489448789207
executed,command,org.eclipse.ltk.ui.refactoring,3.8.0.v20160518-1817,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1489448789254
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1489448789321
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489448793397
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489448801031
activated,view,org.eclipse.ui.ide,3.12.2.v20161115-1450,"org.eclipse.ui.views.AllMarkersView",1489448807300
opened,view,org.eclipse.ui.views,,"org.eclipse.ui.views.PropertySheet",1489448807637
activated,view,org.eclipse.ui.views,,"org.eclipse.ui.views.PropertySheet",1489448807669
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1489448807832
closed,view,org.eclipse.ui.ide,3.12.2.v20161115-1450,"org.eclipse.ui.views.AllMarkersView",1489448807871
activated,view,org.eclipse.ui.views,,"org.eclipse.ui.views.PropertySheet",1489448807953
opened,view,org.eclipse.wst.server.ui,1.5.306.v201609011808,"org.eclipse.wst.server.ui.ServersView",1489448809016
activated,view,org.eclipse.wst.server.ui,1.5.306.v201609011808,"org.eclipse.wst.server.ui.ServersView",1489448809050
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1489448809167
closed,view,org.eclipse.ui.views,,"org.eclipse.ui.views.PropertySheet",1489448809190
started,bundle,org.eclipse.datatools.connectivity.ui,1.3.0.201603142002,"org.eclipse.datatools.connectivity.ui",1489448810836
started,bundle,org.eclipse.datatools.connectivity.ui.dse,1.2.0.201603142002,"org.eclipse.datatools.connectivity.ui.dse",1489448810838
started,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201006242214,"org.eclipse.datatools.enablement.ingres.ui",1489448810986
started,bundle,org.eclipse.datatools.connectivity.sqm.core,1.3.0.201603142002,"org.eclipse.datatools.connectivity.sqm.core",1489448812589
started,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.3.0.201603142002,"org.eclipse.datatools.connectivity.sqm.core.ui",1489448812603
opened,view,org.eclipse.datatools.connectivity.ui.dse,1.2.0.201603142002,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1489448812647
closed,view,org.eclipse.wst.server.ui,1.5.306.v201609011808,"org.eclipse.wst.server.ui.ServersView",1489448812867
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.2.0.201603142002,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1489448812940
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489448816041
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489448819603
opened,view,org.eclipse.egit.ui,4.4.1.201607150455-r,"org.eclipse.egit.ui.StagingView",1489448820640
activated,view,org.eclipse.egit.ui,4.4.1.201607150455-r,"org.eclipse.egit.ui.StagingView",1489448820813
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.views.showView",1489448820853
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.views.showView",1489448820853
started,bundle,org.eclipse.core.variables,3.3.0.v20160419-1720,"org.eclipse.core.variables",1489448820955
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.2.0.201603142002,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1489448822610
activated,view,org.eclipse.egit.ui,4.4.1.201607150455-r,"org.eclipse.egit.ui.StagingView",1489448823896
closed,view,org.eclipse.datatools.connectivity.ui.dse,1.2.0.201603142002,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1489448824047
started,bundle,org.eclipse.wst.common.snippets,1.2.300.v201602270217,"org.eclipse.wst.common.snippets",1489448825126
started,bundle,org.eclipse.gef,3.11.0.201606061308,"org.eclipse.gef",1489448825145
started,bundle,org.eclipse.draw2d,3.10.100.201606061308,"org.eclipse.draw2d",1489448825192
opened,view,org.eclipse.wst.common.snippets,1.2.300.v201602270217,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1489448825719
activated,view,org.eclipse.wst.common.snippets,1.2.300.v201602270217,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1489448825890
activated,view,org.eclipse.egit.ui,4.4.1.201607150455-r,"org.eclipse.egit.ui.StagingView",1489448827032
closed,view,org.eclipse.wst.common.snippets,1.2.300.v201602270217,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1489448827129
opened,view,org.eclipse.ui.console,3.6.201.v20161107-0337,"org.eclipse.ui.console.ConsoleView",1489448830524
activated,view,org.eclipse.ui.console,3.6.201.v20161107-0337,"org.eclipse.ui.console.ConsoleView",1489448830665
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.views.showView",1489448830704
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1489448832965
opened,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1489448835766
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1489448836185
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489448844346
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489448859079
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1489448865797
closed,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1489448865860
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489448868579
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489448892723
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489448898206
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489449519841
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489449520633
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489449550492
opened,view,org.eclipse.mylyn.tasks.ui,3.21.0.v20160913-2131,"org.eclipse.mylyn.tasks.ui.views.tasks",1489449571838
opened,view,org.eclipse.ui.views,,"org.eclipse.ui.views.ContentOutline",1489449572103
opened,view,org.eclipse.ui.ide,3.12.2.v20161115-1450,"org.eclipse.ui.views.ProblemView",1489449572253
activated,perspective,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.JavaPerspective",1489449572456
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.perspectives.showPerspective",1489449572555
executed,command,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.JavaPerspective",1489449572555
activated,view,org.eclipse.mylyn.tasks.ui,3.21.0.v20160913-2131,"org.eclipse.mylyn.tasks.ui.views.tasks",1489449574884
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1489449575011
closed,view,org.eclipse.mylyn.tasks.ui,3.21.0.v20160913-2131,"org.eclipse.mylyn.tasks.ui.views.tasks",1489449575063
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489449580302
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489449585013
opened,view,org.eclipse.egit.ui,4.4.1.201607150455-r,"org.eclipse.egit.ui.InteractiveRebaseView",1489449585395
activated,view,org.eclipse.egit.ui,4.4.1.201607150455-r,"org.eclipse.egit.ui.InteractiveRebaseView",1489449585511
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.views.showView",1489449585527
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.views.showView",1489449585527
activated,view,org.eclipse.ui.ide,3.12.2.v20161115-1450,"org.eclipse.ui.views.ProblemView",1489449587256
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1489449587343
closed,view,org.eclipse.egit.ui,4.4.1.201607150455-r,"org.eclipse.egit.ui.InteractiveRebaseView",1489449587369
activated,view,org.eclipse.ui.ide,3.12.2.v20161115-1450,"org.eclipse.ui.views.ProblemView",1489449587434
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489449590451
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489449594156
activated,view,org.eclipse.ui.ide,3.12.2.v20161115-1450,"org.eclipse.ui.views.ProblemView",1489449594252
activated,view,org.eclipse.egit.ui,4.4.1.201607150455-r,"org.eclipse.egit.ui.StagingView",1489449594534
activated,view,org.eclipse.egit.ui,4.4.1.201607150455-r,"org.eclipse.egit.ui.StagingView",1489449594549
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.views.showView",1489449594564
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.views.showView",1489449594565
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1489449601041
started,bundle,org.eclipse.egit.mylyn.ui,4.4.1.201607150455-r,"org.eclipse.egit.mylyn.ui",1489449601611
activated,view,org.eclipse.egit.ui,4.4.1.201607150455-r,"org.eclipse.egit.ui.StagingView",1489449603824
activated,view,org.eclipse.egit.ui,4.4.1.201607150455-r,"org.eclipse.egit.ui.StagingView",1489449604681
opened,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.SourceView",1489449609065
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.SourceView",1489449609156
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.SourceView",1489449609251
